35A;268580029,3;NOME2;12014;20143;DCC179;;Rep Freq
35A;268580029,3;NOME2;12014;20143;MAT154;;Rep Freq
35A;268580029,3;NOME2;12014;20143;MAT155;0;Rep Nota
35A;268580030,7;NOME2;12014;20103;DCC119;69;Aprovado
35A;268580030,7;NOME2;12014;20103;DCC120;71;Aprovado
35A;268580030,7;NOME2;12014;20111;DCC121;82;Aprovado
35A;268580030,7;NOME2;12014;20113;DCC107;67;Aprovado
35A;268580030,7;NOME2;12014;20131;DCC013;88;Aprovado
35A;268580030,7;NOME2;12014;20143;DCC160;35;Rep Nota
35A;268580030,7;NOME2;12014;20143;DCC175;DISP;Dispensado
35A;268580030,7;NOME2;12014;20143;MAT154;26;Rep Nota
35A;268580030,7;NOME2;12014;20143;MAT155;28;Rep Nota
35A;268580032;NOME2;12014;20143;DCC119;RI;Rep Freq
35A;268580032;NOME2;12014;20143;DCC120;8;Rep Freq
35A;268580032;NOME2;12014;20143;DCC160;16;Rep Freq
35A;268580032;NOME2;12014;20143;DCC175;RI;Rep Freq
35A;268580032;NOME2;12014;20143;DCC179;;Rep Freq
35A;268580032;NOME2;12014;20143;MAT154;;Rep Freq
35A;268580032;NOME2;12014;20143;MAT155;4;Rep Nota
35A;268580033,3;NOME2;12014;20143;DCC119;15;Rep Nota
35A;268580033,3;NOME2;12014;20143;DCC120;15;Rep Nota
35A;268580033,3;NOME2;12014;20143;DCC160;62;Aprovado
35A;268580033,3;NOME2;12014;20143;DCC175;85;Aprovado
35A;268580033,3;NOME2;12014;20143;DCC179;60;Aprovado
35A;268580033,3;NOME2;12014;20143;MAT154;3;Rep Nota
35A;268580033,3;NOME2;12014;20143;MAT155;23;Rep Nota
35A;268580034,7;NOME2;12014;20113;DCC119;94;Aprovado
35A;268580034,7;NOME2;12014;20113;DCC120;96;Aprovado
35A;268580034,7;NOME2;12014;20121;DCC107;68;Aprovado
35A;268580034,7;NOME2;12014;20121;MAT154;65;Aprovado
35A;268580034,7;NOME2;12014;20123;DCC013;81;Aprovado
35A;268580034,7;NOME2;12014;20131;MAT155;85;Aprovado
35A;268580034,7;NOME2;12014;20141;DCC008;60;Aprovado
35A;268580034,7;NOME2;12014;20141;DCC042;93;Aprovado
35A;268580034,7;NOME2;12014;20143;DCC012;RI;Rep Freq
35A;268580034,7;NOME2;12014;20143;DCC160;35;Rep Nota
35A;268580034,7;NOME2;12014;20143;DCC175;RI;Rep Freq
35A;268580034,7;NOME2;12014;20143;DCC179;73;Aprovado
35A;268580034,7;NOME2;12014;20143;MAT156;RI;Rep Freq
35A;268580036;NOME2;12014;20111;DCC119;84;Aprovado
35A;268580036;NOME2;12014;20111;DCC120;89;Aprovado
35A;268580036;NOME2;12014;20111;ICE001;100;Aprovado
35A;268580036;NOME2;12014;20111;QUI125;60;Aprovado
35A;268580036;NOME2;12014;20113;DCC107;62;Aprovado
35A;268580036;NOME2;12014;20113;MAT155;61;Aprovado
35A;268580036;NOME2;12014;20113;QUI126;64;Aprovado
35A;268580036;NOME2;12014;20121;DCC013;76;Aprovado
35A;268580036;NOME2;12014;20121;DCC122;72;Aprovado
35A;268580036;NOME2;12014;20121;ICE002;86;Aprovado
35A;268580036;NOME2;12014;20121;MAC013;80;Aprovado
35A;268580036;NOME2;12014;20121;MAT154;84;Aprovado
35A;268580036;NOME2;12014;20123;DCC025;94;Aprovado
35A;268580036;NOME2;12014;20123;MAT156;73;Aprovado
35A;268580036;NOME2;12014;20131;FIS073;62;Aprovado
35A;268580036;NOME2;12014;20133;DCC117;78;Aprovado
35A;268580036;NOME2;12014;20141;DCC012;60;Aprovado
35A;268580036;NOME2;12014;20141;DCC060;74;Aprovado
35A;268580036;NOME2;12014;20141;DCC061;63;Aprovado
35A;268580036;NOME2;12014;20141;DCC070;60;Aprovado
